D_t,C_t,saving_rate
0.5,1.5,0.007463710103273291
0.5517241379310345,1.4689655172413794,0.007425639502121828
0.603448275862069,1.4379310344827587,0.007405329585252085
0.6551724137931034,1.4068965517241379,0.007402835984999578
0.7068965517241379,1.3758620689655172,0.0074182136711907765
0.7586206896551724,1.3448275862068966,0.00745151696097629
0.8103448275862069,1.313793103448276,0.007502799528488757
0.8620689655172413,1.282758620689655,0.007572114414330033
0.9137931034482758,1.2517241379310344,0.007659514034890957
0.9655172413793103,1.2206896551724138,0.007765050191506917
1.0172413793103448,1.1896551724137931,0.00788877407945282
1.0689655172413794,1.1586206896551725,0.00803073629678075
1.1206896551724137,1.1275862068965519,0.008190986853003068
1.1724137931034484,1.096551724137931,0.00836957517762521
1.2241379310344827,1.0655172413793104,0.008566550128529249
1.2758620689655173,1.0344827586206897,0.008781960000213973
1.3275862068965516,1.0034482758620689,0.009015852531891522
1.3793103448275863,0.9724137931034483,0.009268274915445518
1.4310344827586206,0.9413793103448276,0.009539273803252701
1.4827586206896552,0.9103448275862069,0.009828895315869945
1.5344827586206897,0.8793103448275862,0.010137185049591824
1.5862068965517242,0.8482758620689655,0.010464188083878334
1.6379310344827587,0.8172413793103448,0.010809948988656781
1.6896551724137931,0.7862068965517242,0.011174511831501421
1.7413793103448276,0.7551724137931035,0.01155792018468993
1.793103448275862,0.7241379310344828,0.011960217132143902
1.8448275862068966,0.6931034482758621,0.012381445276250458
1.896551724137931,0.6620689655172414,0.012821646744571258
1.9482758620689655,0.6310344827586207,0.013280863196440063
2.0,0.6,0.013759135829448321
