period,fertility_rate,child_dependency,old_dependency,saving_rate,support_burden,future_aging_pressure
0,1.5,1.5,0.8333333333333334,0.007488961971543917,0.22999999999999998,0.8788232611049966
1,1.4655172413793103,1.4655172413793103,0.6666666666666666,0.007385487769332566,0.20500000000000002,0.9071920554312378
2,1.4310344827586208,1.4310344827586208,0.6823529411764706,0.007397214204303726,0.20735294117647057,0.9375188528168588
3,1.396551724137931,1.396551724137931,0.6987951807228915,0.007410290483991444,0.20981927710843373,0.9700209542458303
4,1.3620689655172413,1.3620689655172413,0.7160493827160493,0.0074249877219209615,0.21240740740740738,1.0049501924271012
5,1.3275862068965516,1.3275862068965516,0.7341772151898734,0.007441619659950827,0.21512658227848103,1.0426003060265816
6,1.293103448275862,1.293103448275862,0.7532467532467533,0.007460550287406609,0.217987012987013,1.0833163467426226
7,1.2586206896551724,1.2586206896551724,0.7733333333333333,0.007482203017414979,0.22099999999999997,1.127506822933099
8,1.2241379310344827,1.2241379310344827,0.7945205479452055,0.007507071785449515,0.22417808219178081,1.1756595834146266
9,1.1896551724137931,1.1896551724137931,0.8169014084507042,0.007535734532651772,0.22753521126760562,1.2283629000888654
10,1.1551724137931034,1.1551724137931034,0.8405797101449275,0.007568869663563349,0.2310869565217391,1.286333914581619
11,1.1206896551724137,1.1206896551724137,0.8656716417910448,0.0076072762345688605,0.2348507462686567,1.3430503324920666
12,1.0862068965517242,1.0862068965517242,0.8923076923076924,0.0076518988495039575,0.23884615384615382,1.3984349478766822
13,1.0517241379310345,1.0517241379310345,0.9206349206349206,0.007703858531886043,0.2430952380952381,1.4524032018449362
14,1.0172413793103448,1.0172413793103448,0.9508196721311476,0.007764491236317006,0.24762295081967212,1.5048622182383788
15,0.9827586206896551,0.9827586206896551,0.9830508474576272,0.007835396193459188,0.25245762711864406,1.5557096758654974
16,0.9482758620689655,0.9482758620689655,1.0175438596491229,0.007918497009059555,0.25763157894736843,1.6048324828830414
17,0.9137931034482759,0.9137931034482759,1.0545454545454545,0.008016119438259639,0.2631818181818182,1.6521052101557685
18,0.8793103448275862,0.8793103448275862,1.0943396226415094,0.008131091149904845,0.2691509433962264,1.697388229023693
19,0.8448275862068966,0.8448275862068966,1.1372549019607843,0.008266870757131284,0.27558823529411763,1.7405254839256536
20,0.8103448275862069,0.8103448275862069,1.183673469387755,0.00842771618410404,0.28255102040816327,1.7813418104562662
21,0.7758620689655172,0.7758620689655172,1.2340425531914894,0.008618906467444953,0.2901063829787234,1.8196396827966914
22,0.7413793103448276,0.7413793103448276,1.288888888888889,0.008847036979403367,0.29833333333333334,1.8551952383522472
23,0.7068965517241379,0.7068965517241379,1.3488372093023255,0.009120416792780306,0.3073255813953488,1.887753377887131
24,0.6724137931034483,0.6724137931034483,1.4146341463414636,0.009449610064396874,0.3171951219512195,1.9170216705700576
25,0.6379310344827587,0.6379310344827587,1.4871794871794872,0.009848183477010997,0.3280769230769231,1.9426626962110833
26,0.603448275862069,0.603448275862069,1.5675675675675675,0.010333753261052792,0.3401351351351351,1.9642843178327047
27,0.5689655172413793,0.5689655172413793,1.6571428571428573,0.010929475483028861,0.3535714285714286,1.9814271749755619
28,0.5344827586206897,0.5344827586206897,1.7575757575757576,0.01166620503719995,0.3686363636363636,1.9935483870967743
29,0.5,0.5,1.8709677419354835,0.012585685335147645,0.3856451612903225,2.0
30,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
31,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
32,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
33,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
34,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
35,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
36,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
37,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
38,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
39,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
40,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
41,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
42,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
43,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
44,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
45,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
46,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
47,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
48,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
49,0.5,0.5,2.0,0.013748844325273957,0.40499999999999997,2.0
