D_t,direct,expenditure_med,care_time_med,risk_med,total,tau_o,tau_o_time,p
0.5,0.0347985347985348,-0.1568021978021978,5.142857142857144e-05,0.011076923076923078,-0.11087531135531135,0.18,0.098,0.8
0.5517241379310345,0.0347985347985348,-0.15579784009094352,5.142857142857144e-05,0.011529983181418547,-0.1094178935395616,0.18775862068965515,0.09986206896551725,0.8051724137931034
0.603448275862069,0.0347985347985348,-0.1547934823796893,5.142857142857144e-05,0.011981027296128367,-0.10796249171359755,0.19551724137931037,0.10172413793103449,0.8103448275862069
0.6551724137931034,0.0347985347985348,-0.15378912466843503,5.142857142857144e-05,0.012430055421052537,-0.10650910587741912,0.20327586206896553,0.10358620689655174,0.8155172413793104
0.7068965517241379,0.0347985347985348,-0.15278476695718077,5.142857142857144e-05,0.01287706755619105,-0.10505773603102633,0.2110344827586207,0.10544827586206897,0.8206896551724138
0.7586206896551724,0.0347985347985348,-0.15178040924592648,5.142857142857144e-05,0.013322063701543915,-0.10360838217441919,0.21879310344827585,0.10731034482758621,0.8258620689655173
0.8103448275862069,0.0347985347985348,-0.1507760515346722,5.142857142857144e-05,0.013765043857111126,-0.10216104430759769,0.226551724137931,0.10917241379310345,0.8310344827586207
0.8620689655172413,0.0347985347985348,-0.14977169382341798,5.142857142857144e-05,0.014206008022892683,-0.10071572243056193,0.23431034482758617,0.11103448275862068,0.8362068965517242
0.9137931034482758,0.0347985347985348,-0.14876733611216372,5.142857142857144e-05,0.014644956198888595,-0.09927241654331175,0.24206896551724139,0.11289655172413793,0.8413793103448276
0.9655172413793103,0.0347985347985348,-0.1477629784009094,5.142857142857144e-05,0.015081888385098852,-0.09783112664584717,0.24982758620689655,0.11475862068965517,0.846551724137931
1.0172413793103448,0.0347985347985348,-0.14675862068965517,5.142857142857144e-05,0.015516804581523455,-0.09639185273816835,0.2575862068965517,0.11662068965517242,0.8517241379310345
1.0689655172413794,0.0347985347985348,-0.14575426297840088,5.142857142857144e-05,0.01594970478816241,-0.0949545948202751,0.2653448275862069,0.11848275862068966,0.8568965517241379
1.1206896551724137,0.0347985347985348,-0.14474990526714665,5.142857142857144e-05,0.01638058900501571,-0.09351935289216756,0.273103448275862,0.1203448275862069,0.8620689655172413
1.1724137931034484,0.0347985347985348,-0.14374554755589242,5.142857142857144e-05,0.016809457232083363,-0.09208612695384567,0.28086206896551724,0.12220689655172415,0.8672413793103448
1.2241379310344827,0.0347985347985348,-0.14274118984463813,5.142857142857144e-05,0.017236309469365357,-0.0906549170053094,0.2886206896551724,0.12406896551724138,0.8724137931034482
1.2758620689655173,0.0347985347985348,-0.14173683213338387,5.142857142857144e-05,0.0176611457168617,-0.08922572304655879,0.2963793103448276,0.12593103448275864,0.8775862068965518
1.3275862068965516,0.0347985347985348,-0.1407324744221296,5.142857142857144e-05,0.018083965974572395,-0.08779854507759383,0.3041379310344827,0.12779310344827588,0.8827586206896552
1.3793103448275863,0.0347985347985348,-0.13972811671087534,5.142857142857144e-05,0.018504770242497443,-0.08637338309841452,0.31189655172413794,0.1296551724137931,0.8879310344827587
1.4310344827586206,0.0347985347985348,-0.13872375899962108,5.142857142857144e-05,0.01892355852063683,-0.08495023710902087,0.3196551724137931,0.13151724137931034,0.8931034482758621
1.4827586206896552,0.0347985347985348,-0.13771940128836682,5.142857142857144e-05,0.01934033080899057,-0.08352910710941287,0.32741379310344826,0.13337931034482758,0.8982758620689655
1.5344827586206897,0.0347985347985348,-0.13671504357711256,5.142857142857144e-05,0.019755087107558657,-0.08210999309959052,0.3351724137931034,0.13524137931034483,0.903448275862069
1.5862068965517242,0.0347985347985348,-0.13571068586585827,5.142857142857144e-05,0.020167827416341093,-0.0806928950795538,0.34293103448275863,0.13710344827586207,0.9086206896551724
1.6379310344827587,0.0347985347985348,-0.134706328154604,5.142857142857144e-05,0.02057855173533788,-0.07927781304930276,0.3506896551724138,0.13896551724137932,0.9137931034482759
1.6896551724137931,0.0347985347985348,-0.13370197044334978,5.142857142857144e-05,0.020987260064549013,-0.07786474700883739,0.35844827586206895,0.14082758620689656,0.9189655172413793
1.7413793103448276,0.0347985347985348,-0.1326976127320955,5.142857142857144e-05,0.02139395240397449,-0.07645369695815762,0.3662068965517241,0.1426896551724138,0.9241379310344828
1.793103448275862,0.0347985347985348,-0.13169325502084125,5.142857142857144e-05,0.02179862875361432,-0.07504466289726355,0.3739655172413793,0.14455172413793105,0.9293103448275862
1.8448275862068966,0.0347985347985348,-0.13068889730958697,5.142857142857144e-05,0.02220128911346849,-0.07363764482615509,0.38172413793103444,0.1464137931034483,0.9344827586206896
1.896551724137931,0.0347985347985348,-0.12968453959833268,5.142857142857144e-05,0.022601933483537017,-0.07223264274483228,0.38948275862068965,0.14827586206896554,0.9396551724137931
1.9482758620689655,0.0347985347985348,-0.12868018188707847,5.142857142857144e-05,0.023000561863819897,-0.0708296566532952,0.3972413793103448,0.15013793103448275,0.9448275862068966
2.0,0.0347985347985348,-0.12767582417582418,5.142857142857144e-05,0.023397174254317116,-0.06942868655154369,0.40499999999999997,0.15200000000000002,0.95
