ai_adoption,labor_income_share,capital_income_share,disposable_income,saving_rate,care_time,employment_rate
0.0,1.0,0.0,0.5599999999999999,0.007950382950383028,0.116,1.0
2.7586206896551726,0.9724137931034482,0.027586206896551727,0.5489655172413793,0.00800640732801533,0.11550344827586206,0.9724137931034482
5.517241379310345,0.9448275862068966,0.055172413793103454,0.5379310344827587,0.008064730141653265,0.11500689655172414,0.9448275862068966
8.275862068965518,0.9172413793103448,0.08275862068965519,0.526896551724138,0.00812549579565286,0.11451034482758621,0.9172413793103448
11.03448275862069,0.8896551724137931,0.11034482758620691,0.5158620689655172,0.008188861049823581,0.11401379310344828,0.8896551724137931
13.793103448275865,0.8620689655172413,0.13793103448275865,0.5048275862068965,0.008254996369750578,0.11351724137931035,0.8620689655172413
16.551724137931036,0.8344827586206897,0.16551724137931037,0.49379310344827587,0.008324087458165708,0.11302068965517242,0.8344827586206897
19.31034482758621,0.8068965517241379,0.1931034482758621,0.4827586206896551,0.008396336996337073,0.1125241379310345,0.8068965517241379
22.06896551724138,0.7793103448275862,0.22068965517241382,0.47172413793103446,0.008471966629861438,0.11202758620689655,0.7793103448275862
24.827586206896555,0.7517241379310344,0.24827586206896554,0.4606896551724138,0.008551219239841978,0.11153103448275863,0.7517241379310344
27.58620689655173,0.7241379310344827,0.2758620689655173,0.44965517241379305,0.008634361548472025,0.11103448275862068,0.7241379310344827
30.3448275862069,0.696551724137931,0.303448275862069,0.4386206896551723,0.008721687117913601,0.11053793103448276,0.696551724137931
33.10344827586207,0.6689655172413793,0.33103448275862074,0.4275862068965517,0.008813519813519854,0.11004137931034483,0.6689655172413793
35.862068965517246,0.6413793103448275,0.35862068965517246,0.416551724137931,0.00891021781750262,0.1095448275862069,0.6413793103448275
38.62068965517242,0.6137931034482758,0.3862068965517242,0.4055172413793103,0.009012178297892581,0.10904827586206897,0.6137931034482758
41.379310344827594,0.5862068965517241,0.4137931034482759,0.3944827586206896,0.009119842861101624,0.10855172413793104,0.5862068965517241
44.13793103448276,0.5586206896551724,0.44137931034482764,0.383448275862069,0.009233703945934202,0.10805517241379312,0.5586206896551724
46.896551724137936,0.5310344827586206,0.46896551724137936,0.37241379310344824,0.009354312354312388,0.10755862068965517,0.5310344827586206
49.65517241379311,0.5034482758620689,0.4965517241379311,0.3613793103448275,0.009482286161675513,0.10706206896551725,0.5034482758620689
52.41379310344828,0.4758620689655172,0.5241379310344828,0.3503448275862069,0.009618321311234745,0.10656551724137932,0.4758620689655172
55.17241379310346,0.4482758620689654,0.5517241379310346,0.3393103448275862,0.00976320427539934,0.10606896551724138,0.4482758620689654
57.931034482758626,0.42068965517241375,0.5793103448275863,0.32827586206896553,0.009917827270768509,0.10557241379310345,0.42068965517241375
60.6896551724138,0.39310344827586197,0.606896551724138,0.3172413793103448,0.010083206648424103,0.10507586206896552,0.39310344827586197
63.44827586206897,0.3655172413793103,0.6344827586206897,0.3062068965517242,0.01026050526050537,0.10457931034482759,0.3655172413793103
66.20689655172414,0.3379310344827585,0.6620689655172415,0.29517241379310344,0.010451059843583299,0.10408275862068966,0.3379310344827585
68.96551724137932,0.31034482758620685,0.6896551724137931,0.28413793103448276,0.010656414782628465,0.10358620689655174,0.31034482758620685
71.72413793103449,0.28275862068965507,0.7172413793103449,0.273103448275862,0.010878364060182277,0.1030896551724138,0.28275862068965507
74.48275862068967,0.2551724137931034,0.7448275862068966,0.2620689655172414,0.0111190038032144,0.10259310344827587,0.2551724137931034
77.24137931034484,0.22758620689655162,0.7724137931034484,0.25103448275862067,0.011380798688491067,0.10209655172413792,0.22758620689655162
80.0,0.19999999999999996,0.8,0.24,0.011666666666666603,0.1016,0.19999999999999996
