n_t,C_t,direct,future_aging_med,per_capita_med,human_capital_med,total,D_future,per_capita_income,per_child_education
2.0,2.0,-0.09347048300536674,-0.020038101433450268,-0.052776528434856994,-0.0020594519466380955,-0.1683445648203121,0.5,0.09999130434782608,0.03
1.9482758620689655,1.9482758620689655,-0.09251659441590274,-0.021135714464424513,-0.05357675212744996,-0.002092552484625067,-0.16932161349240227,0.5132743362831859,0.1029387537993921,0.03
1.896551724137931,1.896551724137931,-0.09158197846602832,-0.02232447498215516,-0.05441494319760081,-0.002127906306080324,-0.1704493029518646,0.5272727272727272,0.10596795069337442,0.03
1.8448275862068966,1.8448275862068966,-0.09066605691230649,-0.023614767389589817,-0.05529295951127647,-0.002165689127344011,-0.1717394729405168,0.5420560747663551,0.10908234375,0.03
1.793103448275862,1.793103448275862,-0.08976827441455013,-0.025018496373997293,-0.05621279680976679,-0.0022060975025767157,-0.17320566510089092,0.5576923076923077,0.11228557844690967,0.03
1.7413793103448276,1.7413793103448276,-0.0888880974129912,-0.02654936197560263,-0.05717660016366675,-0.0022493518900715648,-0.17486341144233214,0.5742574257425742,0.1155815112540193,0.03
1.6896551724137931,1.6896551724137931,-0.08802501307086484,-0.028223194506491873,-0.058186676619689834,-0.00229570028347251,-0.17673058448051907,0.5918367346938775,0.11897422512234912,0.03
1.6379310344827587,1.6379310344827587,-0.08717852827800472,-0.030058364676944737,-0.05924550918061093,-0.002345422532654362,-0.17882782466821473,0.6105263157894737,0.12246804635761589,0.03
1.5862068965517242,1.5862068965517242,-0.08634816871138175,-0.03207628886554712,-0.06035577227784653,-0.0023988355115743282,-0.18117906536634973,0.6304347826086957,0.12606756302521008,0.03
1.5344827586206897,1.5344827586206897,-0.08553347794882546,-0.034302055617509555,-0.061520348918333356,-0.0024562993328342856,-0.18381218181750267,0.6516853932584269,0.12977764505119457,0.03
1.4827586206896552,1.4827586206896552,-0.08473401663244845,-0.03676520778472073,-0.06274234971297007,-0.00251822486444251,-0.18675979899458175,0.6744186046511628,0.13360346620450608,0.03
1.4310344827586206,1.4310344827586206,-0.08394936167855192,-0.03950072611345809,-0.06402513402354644,-0.002585082878147829,-0.19006030469370427,0.6987951807228916,0.1375505281690141,0.03
1.3793103448275863,1.3793103448275863,-0.08317910553102723,-0.04255027582775058,-0.06537233349951874,-0.0026574152575385567,-0.19375913011583512,0.725,0.14162468694096603,0.03
1.3275862068965516,1.3275862068965516,-0.08242285545548501,-0.04596379974714136,-0.06678787831606538,-0.0027358488275683844,-0.19791038234626013,0.7532467532467533,0.14583218181818186,0.03
1.2758620689655173,1.2758620689655173,-0.08168023287154332,-0.049801572557685345,-0.06827602647160438,-0.002821112549338943,-0.202578944450172,0.7837837837837838,0.15017966728280963,0.03
1.2241379310344827,1.2241379310344827,-0.08095087272088959,-0.05413687533431931,-0.06984139655762685,-0.0029140590754108127,-0.20784320368824655,0.8169014084507042,0.15467424812030076,0.03
1.1724137931034484,1.1724137931034484,-0.0802344228689002,-0.059059513930498755,-0.07148900447779664,-0.003015692012193425,-0.21379863328938903,0.8529411764705881,0.15932351816443596,0.03
1.1206896551724137,1.1206896551724137,-0.07953054353775672,-0.06468049980370812,-0.07322430466861704,-0.0031272007331583627,-0.22056254874324024,0.8923076923076924,0.16413560311284048,0.03
1.0689655172413794,1.0689655172413794,-0.07883890676914157,-0.07113835380381814,-0.07505323646277785,-0.0032500053003339203,-0.2282805023360715,0.9354838709677418,0.16911920792079208,0.03
1.0172413793103448,1.0172413793103448,-0.07815919591472804,-0.078607709338259,-0.07698227634127569,-0.0033858150918664796,-0.2371349966861292,0.9830508474576272,0.17428366935483874,0.03
0.9655172413793103,0.9655172413793103,-0.07749110515280141,-0.0873112258079627,-0.07901849694484496,-0.0035367062753477747,-0.24735753418095688,1.0357142857142858,0.17963901437371668,0.03
0.9137931034482758,0.9137931034482758,-0.07683433902946098,-0.0975363520840168,-0.08116963386319921,-0.0037052255940236284,-0.25924555057070064,1.0943396226415094,0.18519602510460256,0.03
0.8620689655172413,0.8620689655172413,-0.07618861202295696,-0.10965933496888768,-0.08344416139704959,-0.003894531517220387,-0.27318663990611464,1.1600000000000001,0.1909663113006397,0.03
0.8103448275862069,0.8103448275862069,-0.07555364812981259,-0.12418028497347075,-0.08585137869900894,-0.004108589449566166,-0.28969390125185845,1.2340425531914894,0.19696239130434787,0.03
0.7586206896551724,0.7586206896551724,-0.07492918047147085,-0.14177552633792875,-0.08840150795295644,-0.0043524467997221065,-0.3094586615620782,1.3181818181818183,0.20319778270509983,0.03
0.7068965517241379,0.7068965517241379,-0.07431495092028838,-0.1633776997744518,-0.09110580655676402,-0.0046326288122016885,-0.33343108606370586,1.4146341463414636,0.2096871040723982,0.03
0.6551724137931034,0.6551724137931034,-0.07371070974377505,-0.19030179899709207,-0.09397669564240353,-0.004957721899700103,-0.36294692628297076,1.5263157894736843,0.21644618937644347,0.03
0.603448275862069,0.603448275862069,-0.07311621526604949,-0.22444990647466545,-0.09702790771534046,-0.005339256976164419,-0.39993328643221987,1.6571428571428573,0.22349221698113209,0.03
0.5517241379310345,0.5517241379310345,-0.07253123354554591,-0.2686562377805766,-0.1002746567407064,-0.005793089666013803,-0.44725521773284277,1.8125,0.23084385542168684,0.03
0.5,0.5,-0.07195553806807004,-0.3272941891867723,-0.10373383467099213,-0.0063416371962973575,-0.5093251991221318,2.0,0.2385214285714286,0.03
