tau_c,tau_g,h_t_plus_1,h_t_plus_1_only_c,h_t_plus_1_only_g
0.05,0.05,0.5426314217330294,0.4627753970400072,0.41581454252441713
0.05,0.06315789473684211,0.5596404405527576,0.4627753970400072,0.4460021644222425
0.05,0.07631578947368421,0.5755220228213636,0.4627753970400072,0.47205542515359666
0.05,0.08947368421052632,0.5904420949779626,0.4627753970400072,0.4951277515714238
0.05,0.10263157894736842,0.6045308649396891,0.4627753970400072,0.5159326066619795
0.05,0.11578947368421053,0.6178925865991823,0.4627753970400072,0.5349453253381506
0.05,0.12894736842105264,0.6306121652053025,0.4627753970400072,0.5525001723302214
0.05,0.14210526315789473,0.6427597638466597,0.4627753970400072,0.5688420878362604
0.05,0.15526315789473683,0.6543941005331102,0.4627753970400072,0.584156478187648
0.05,0.16842105263157894,0.6655648616727304,0.4627753970400072,0.5985874208272585
0.05,0.18157894736842106,0.6763145037231633,0.4627753970400072,0.6122493335144873
0.05,0.19473684210526315,0.6866796215414814,0.4627753970400072,0.6252347528844866
0.05,0.20789473684210524,0.6966920036934,0.4627753970400072,0.6376196920270777
0.05,0.22105263157894733,0.7063794575620614,0.4627753970400072,0.6494674345038219
0.05,0.23421052631578948,0.7157664624665872,0.4627753970400072,0.660831286040027
0.05,0.24736842105263157,0.7248746924304897,0.4627753970400072,0.6717566121040491
0.05,0.26052631578947366,0.7337234388708017,0.4627753970400072,0.682282374431512
0.05,0.27368421052631575,0.7423299555379289,0.4627753970400072,0.6924423085312655
0.05,0.2868421052631579,0.7507097423995482,0.4627753970400072,0.7022658391134405
0.05,0.3,0.7588767811012505,0.4627753970400072,0.7117788009975323
0.06315789473684211,0.05,0.566574248416172,0.4963723189385226,0.41581454252441713
0.06315789473684211,0.06315789473684211,0.5820257923332213,0.4963723189385226,0.4460021644222425
0.06315789473684211,0.07631578947368421,0.5965753430821727,0.4963723189385226,0.47205542515359666
0.06315789473684211,0.08947368421052632,0.6103410082579597,0.4963723189385226,0.4951277515714238
0.06315789473684211,0.10263157894736842,0.6234180772225366,0.4963723189385226,0.5159326066619795
0.06315789473684211,0.11578947368421053,0.6358846616175757,0.4963723189385226,0.5349453253381506
0.06315789473684211,0.12894736842105264,0.6478056749600877,0.4963723189385226,0.5525001723302214
0.06315789473684211,0.14210526315789473,0.6592357096954062,0.4963723189385226,0.5688420878362604
0.06315789473684211,0.15526315789473683,0.6702211616522489,0.4963723189385226,0.584156478187648
0.06315789473684211,0.16842105263157894,0.6808018281361895,0.4963723189385226,0.5985874208272585
0.06315789473684211,0.18157894736842106,0.6910121299425347,0.4963723189385226,0.6122493335144873
0.06315789473684211,0.19473684210526315,0.7008820595295024,0.4963723189385226,0.6252347528844866
0.06315789473684211,0.20789473684210524,0.7104379264015223,0.4963723189385226,0.6376196920270777
0.06315789473684211,0.22105263157894733,0.7197029500230954,0.4963723189385226,0.6494674345038219
0.06315789473684211,0.23421052631578948,0.728697736516138,0.4963723189385226,0.660831286040027
0.06315789473684211,0.24736842105263157,0.7374406656655911,0.4963723189385226,0.6717566121040491
0.06315789473684211,0.26052631578947366,0.745948207914959,0.4963723189385226,0.682282374431512
0.06315789473684211,0.27368421052631575,0.754235186144322,0.4963723189385226,0.6924423085312655
0.06315789473684211,0.2868421052631579,0.7623149934803188,0.4963723189385226,0.7022658391134405
0.06315789473684211,0.3,0.7701997757862802,0.4963723189385226,0.7117788009975323
0.07631578947368421,0.05,0.5883642711647485,0.5253679572486745,0.41581454252441713
0.07631578947368421,0.06315789473684211,0.6025648933598867,0.5253679572486745,0.4460021644222425
0.07631578947368421,0.07631578947368421,0.6160248867987685,0.5253679572486745,0.47205542515359666
0.07631578947368421,0.08947368421052632,0.6288316012316598,0.5253679572486745,0.4951277515714238
0.07631578947368421,0.10263157894736842,0.6410570788947232,0.5253679572486745,0.5159326066619795
0.07631578947368421,0.11578947368421053,0.6527615079259304,0.5253679572486745,0.5349453253381506
0.07631578947368421,0.12894736842105264,0.663995742657331,0.5253679572486745,0.5525001723302214
0.07631578947368421,0.14210526315789473,0.6748031800302683,0.5253679572486745,0.5688420878362604
0.07631578947368421,0.15526315789473683,0.6852211813978017,0.5253679572486745,0.584156478187648
0.07631578947368421,0.16842105263157894,0.6952821667759965,0.5253679572486745,0.5985874208272585
0.07631578947368421,0.18157894736842106,0.7050144688042068,0.5253679572486745,0.6122493335144873
0.07631578947368421,0.19473684210526315,0.7144430075644126,0.5253679572486745,0.6252347528844866
0.07631578947368421,0.20789473684210524,0.723589829896189,0.5253679572486745,0.6376196920270777
0.07631578947368421,0.22105263157894733,0.7324745448596285,0.5253679572486745,0.6494674345038219
0.07631578947368421,0.23421052631578948,0.741114678648512,0.5253679572486745,0.660831286040027
0.07631578947368421,0.24736842105263157,0.7495259663420228,0.5253679572486745,0.6717566121040491
0.07631578947368421,0.26052631578947366,0.7577225936315443,0.5253679572486745,0.682282374431512
0.07631578947368421,0.27368421052631575,0.7657173985602046,0.5253679572486745,0.6924423085312655
0.07631578947368421,0.2868421052631579,0.7735220410256223,0.5253679572486745,0.7022658391134405
0.07631578947368421,0.3,0.7811471460884009,0.5253679572486745,0.7117788009975323
0.08947368421052632,0.05,0.6084186582801927,0.5510460034127757,0.41581454252441713
0.08947368421052632,0.06315789473684211,0.6215889644428502,0.5510460034127757,0.4460021644222425
0.08947368421052632,0.07631578947368421,0.6341385141374312,0.5510460034127757,0.47205542515359666
0.08947368421052632,0.08947368421052632,0.6461339089863677,0.5510460034127757,0.4951277515714238
0.08947368421052632,0.10263157894736842,0.6576310711443403,0.5510460034127757,0.5159326066619795
0.08947368421052632,0.11578947368421053,0.6686774591700984,0.5510460034127757,0.5349453253381506
0.08947368421052632,0.12894736842105264,0.679313730711443,0.5510460034127757,0.5525001723302214
0.08947368421052632,0.14210526315789473,0.6895750110844688,0.5510460034127757,0.5688420878362604
0.08947368421052632,0.15526315789473683,0.6994918756249762,0.5510460034127757,0.584156478187648
0.08947368421052632,0.16842105263157894,0.7090911205631447,0.5510460034127757,0.5985874208272585
0.08947368421052632,0.18157894736842106,0.7183963752264774,0.5510460034127757,0.6122493335144873
0.08947368421052632,0.19473684210526315,0.727428593525222,0.5510460034127757,0.6252347528844866
0.08947368421052632,0.20789473684210524,0.7362064524310967,0.5510460034127757,0.6376196920270777
0.08947368421052632,0.22105263157894733,0.7447466779714247,0.5510460034127757,0.6494674345038219
0.08947368421052632,0.23421052631578948,0.7530643141357138,0.5510460034127757,0.660831286040027
0.08947368421052632,0.24736842105263157,0.7611729463849153,0.5510460034127757,0.6717566121040491
0.08947368421052632,0.26052631578947366,0.7690848887369575,0.5510460034127757,0.682282374431512
0.08947368421052632,0.27368421052631575,0.7768113413868006,0.5510460034127757,0.6924423085312655
0.08947368421052632,0.2868421052631579,0.7843625243072732,0.5510460034127757,0.7022658391134405
0.08947368421052632,0.3,0.7917477911307246,0.5510460034127757,0.7117788009975323
0.10263157894736842,0.05,0.6270391948310787,0.5742004967992747,0.41581454252441713
0.10263157894736842,0.06315789473684211,0.6393437757081875,0.5742004967992747,0.4460021644222425
0.10263157894736842,0.07631578947368421,0.6511193318421679,0.5742004967992747,0.47205542515359666
0.10263157894736842,0.08947368421052632,0.6624179234758544,0.5742004967992747,0.4951277515714238
0.10263157894736842,0.10263157894736842,0.6732839168437166,0.5742004967992747,0.5159326066619795
0.10263157894736842,0.11578947368421053,0.6837554619839934,0.5742004967992747,0.5349453253381506
0.10263157894736842,0.12894736842105264,0.6938656276908182,0.5742004967992747,0.5525001723302214
0.10263157894736842,0.14210526315789473,0.7036432855600653,0.5742004967992747,0.5688420878362604
0.10263157894736842,0.15526315789473683,0.7131138073910495,0.5742004967992747,0.584156478187648
0.10263157894736842,0.16842105263157894,0.7222996216881095,0.5742004967992747,0.5985874208272585
0.10263157894736842,0.18157894736842106,0.7312206623689135,0.5742004967992747,0.6122493335144873
0.10263157894736842,0.19473684210526315,0.7398947340030979,0.5742004967992747,0.6252347528844866
0.10263157894736842,0.20789473684210524,0.7483378116980065,0.5742004967992747,0.6376196920270777
0.10263157894736842,0.22105263157894733,0.7565642892951613,0.5742004967992747,0.6494674345038219
0.10263157894736842,0.23421052631578948,0.7645871863015746,0.5742004967992747,0.660831286040027
0.10263157894736842,0.24736842105263157,0.7724183215931184,0.5742004967992747,0.6717566121040491
0.10263157894736842,0.26052631578947366,0.780068460147717,0.5742004967992747,0.682282374431512
0.10263157894736842,0.27368421052631575,0.7875474377250089,0.5742004967992747,0.6924423085312655
0.10263157894736842,0.2868421052631579,0.7948642673881273,0.5742004967992747,0.7022658391134405
0.10263157894736842,0.3,0.8020272309786063,0.5742004967992747,0.7117788009975323
0.11578947368421053,0.05,0.6444519889791663,0.595360455228719,0.41581454252441713
0.11578947368421053,0.06315789473684211,0.6560172443659668,0.595360455228719,0.4460021644222425
0.11578947368421053,0.07631578947368421,0.6671253961183665,0.595360455228719,0.47205542515359666
0.11578947368421053,0.08947368421052632,0.6778179879398701,0.595360455228719,0.4951277515714238
0.11578947368421053,0.10263157894736842,0.6881308695931935,0.595360455228719,0.5159326066619795
0.11578947368421053,0.11578947368421053,0.6980952149373976,0.595360455228719,0.5349453253381506
0.11578947368421053,0.12894736842105264,0.707738319360106,0.595360455228719,0.5525001723302214
0.11578947368421053,0.14210526315789473,0.7170842320366293,0.595360455228719,0.5688420878362604
0.11578947368421053,0.15526315789473683,0.7261542627640208,0.595360455228719,0.584156478187648
0.11578947368421053,0.16842105263157894,0.7349673923283716,0.595360455228719,0.5985874208272585
0.11578947368421053,0.18157894736842106,0.7435406078094523,0.595360455228719,0.6122493335144873
0.11578947368421053,0.19473684210526315,0.7518891788528137,0.595360455228719,0.6252347528844866
0.11578947368421053,0.20789473684210524,0.760026887060308,0.595360455228719,0.6376196920270777
0.11578947368421053,0.22105263157894733,0.7679662178122041,0.595360455228719,0.6494674345038219
0.11578947368421053,0.23421052631578948,0.7757185217323801,0.595360455228719,0.660831286040027
0.11578947368421053,0.24736842105263157,0.7832941514337647,0.595360455228719,0.6717566121040491
0.11578947368421053,0.26052631578947366,0.7907025779894366,0.595360455228719,0.682282374431512
0.11578947368421053,0.27368421052631575,0.7979524906637635,0.595360455228719,0.6924423085312655
0.11578947368421053,0.2868421052631579,0.8050518827351505,0.595360455228719,0.7022658391134405
0.11578947368421053,0.3,0.8120081256951523,0.595360455228719,0.7117788009975323
0.12894736842105264,0.05,0.660831286040027,0.6148978942932871,0.41581454252441713
0.12894736842105264,0.06315789473684211,0.6717566121040491,0.6148978942932871,0.4460021644222425
0.12894736842105264,0.07631578947368421,0.6822823744315121,0.6148978942932871,0.47205542515359666
0.12894736842105264,0.08947368421052632,0.6924423085312658,0.6148978942932871,0.4951277515714238
0.12894736842105264,0.10263157894736842,0.7022658391134405,0.6148978942932871,0.5159326066619795
0.12894736842105264,0.11578947368421053,0.7117788009975324,0.6148978942932871,0.5349453253381506
0.12894736842105264,0.12894736842105264,0.721004013469988,0.6148978942932871,0.5525001723302214
0.12894736842105264,0.14210526315789473,0.7299617427300968,0.6148978942932871,0.5688420878362604
0.12894736842105264,0.15526315789473683,0.738670077820967,0.6148978942932871,0.584156478187648
0.12894736842105264,0.16842105263157894,0.7471452389261544,0.6148978942932871,0.5985874208272585
0.12894736842105264,0.18157894736842106,0.75540183224715,0.6148978942932871,0.6122493335144873
0.12894736842105264,0.19473684210526315,0.7634530622894863,0.6148978942932871,0.6252347528844866
0.12894736842105264,0.20789473684210524,0.7713109098937233,0.6148978942932871,0.6376196920270777
0.12894736842105264,0.22105263157894733,0.7789862824931495,0.6148978942932871,0.6494674345038219
0.12894736842105264,0.23421052631578948,0.7864891416845137,0.6148978942932871,0.660831286040027
